Month,Avg. Surface Temperature,Avg. Uncertainty,Country
April,7.833,1.547,Monaco
May,12.140,1.414,Monaco
June,16.161,1.402,Monaco
July,18.842,1.430,Monaco
August,18.307,1.403,Monaco
September,14.593,1.334,Monaco
October,9.321,1.447,Monaco
November,4.347,1.629,Monaco
December,0.789,1.767,Monaco
January,-22.010,1.504,Mongolia
February,-18.067,1.488,Mongolia
March,-8.992,1.318,Mongolia
April,1.554,1.220,Mongolia
May,9.535,1.148,Mongolia
June,15.641,1.172,Mongolia
July,18.194,1.132,Mongolia
August,15.855,1.131,Mongolia
September,8.984,1.117,Mongolia
October,-0.050,1.147,Mongolia
November,-11.111,1.322,Mongolia
December,-19.461,1.519,Mongolia
January,-0.634,2.010,Montenegro
February,1.193,1.861,Montenegro
March,4.985,1.538,Montenegro
April,9.549,1.533,Montenegro
May,14.564,1.407,Montenegro
June,18.411,1.391,Montenegro
July,20.763,1.430,Montenegro
August,20.305,1.404,Montenegro
September,16.214,1.351,Montenegro
October,10.832,1.462,Montenegro
November,5.464,1.605,Montenegro
December,1.023,1.808,Montenegro
January,24.740,0.700,Montserrat
February,24.732,0.647,Montserrat
March,25.173,0.589,Montserrat
April,25.792,0.611,Montserrat
May,26.837,0.596,Montserrat
June,27.485,0.550,Montserrat
July,27.740,0.558,Montserrat
August,27.817,0.531,Montserrat
September,27.542,0.535,Montserrat
October,27.010,0.513,Montserrat
November,26.422,0.578,Montserrat
December,25.332,0.679,Montserrat
January,9.612,1.313,Morocco
February,11.446,1.267,Morocco
March,14.021,1.189,Morocco
April,16.095,1.131,Morocco
May,19.221,1.103,Morocco
June,23.184,1.163,Morocco
July,26.341,1.175,Morocco
August,26.231,1.120,Morocco
September,22.952,1.077,Morocco
October,18.324,1.117,Morocco
November,13.841,1.193,Morocco
December,10.202,1.236,Morocco
January,25.753,0.514,Mozambique
February,25.630,0.488,Mozambique
March,25.231,0.442,Mozambique
April,23.841,0.460,Mozambique
May,21.901,0.429,Mozambique
June,20.002,0.470,Mozambique
July,19.623,0.455,Mozambique
August,20.948,0.479,Mozambique
September,23.185,0.473,Mozambique
October,25.075,0.452,Mozambique
November,26.114,0.509,Mozambique
December,25.903,0.509,Mozambique
January,24.111,0.900,Namibia
February,23.641,0.896,Namibia
March,22.835,0.889,Namibia
April,20.753,0.903,Namibia
May,17.832,0.935,Namibia
June,15.114,0.893,Namibia
July,14.832,0.903,Namibia
August,16.902,0.860,Namibia
September,19.981,0.815,Namibia
October,22.313,0.808,Namibia
November,23.531,0.820,Namibia
December,24.046,0.926,Namibia
January,5.634,1.078,Nepal
February,7.794,1.040,Nepal
March,12.452,0.982,Nepal
April,16.822,0.939,Nepal
May,19.875,0.901,Nepal
June,21.306,0.949,Nepal
July,20.923,0.868,Nepal
August,20.450,0.831,Nepal
September,19.130,0.826,Nepal
October,15.609,0.908,Nepal
November,10.840,1.011,Nepal
December,6.702,1.023,Nepal
January,1.310,2.087,Netherlands (Europe)
February,2.311,1.898,Netherlands (Europe)
March,4.548,1.625,Netherlands (Europe)
April,7.920,1.578,Netherlands (Europe)
May,12.131,1.449,Netherlands (Europe)
June,15.211,1.454,Netherlands (Europe)
July,17.023,1.472,Netherlands (Europe)
August,16.864,1.464,Netherlands (Europe)
September,14.190,1.363,Netherlands (Europe)
October,9.815,1.512,Netherlands (Europe)
November,5.522,1.687,Netherlands (Europe)
December,2.589,1.813,Netherlands (Europe)
January,1.830,2.079,Netherlands
February,2.818,1.894,Netherlands
March,5.009,1.625,Netherlands
April,8.328,1.580,Netherlands
May,12.472,1.453,Netherlands
June,15.495,1.458,Netherlands
July,17.273,1.477,Netherlands
August,17.115,1.469,Netherlands
September,14.501,1.371,Netherlands
October,10.204,1.517,Netherlands
November,5.991,1.687,Netherlands
December,3.098,1.809,Netherlands
January,25.243,0.747,New Caledonia
February,25.635,0.738,New Caledonia
March,25.161,0.680,New Caledonia
April,23.745,0.680,New Caledonia
May,22.321,0.649,New Caledonia
June,21.111,0.679,New Caledonia
July,20.132,0.675,New Caledonia
August,19.835,0.674,New Caledonia
September,20.468,0.637,New Caledonia
October,21.531,0.689,New Caledonia
November,22.987,0.710,New Caledonia
December,24.192,0.745,New Caledonia
January,14.947,0.683,New Zealand
February,15.040,0.669,New Zealand
March,13.664,0.562,New Zealand
April,10.993,0.582,New Zealand
May,8.253,0.556,New Zealand
June,6.008,0.572,New Zealand
July,5.384,0.517,New Zealand
August,6.382,0.504,New Zealand
September,8.288,0.508,New Zealand
October,10.017,0.542,New Zealand
November,11.805,0.600,New Zealand
December,13.689,0.676,New Zealand
January,24.711,0.816,Nicaragua
February,25.294,0.779,Nicaragua
March,26.467,0.761,Nicaragua
April,27.346,0.775,Nicaragua
May,27.378,0.674,Nicaragua
June,26.462,0.669,Nicaragua
July,26.136,0.683,Nicaragua
August,26.255,0.684,Nicaragua
September,26.131,0.668,Nicaragua
October,25.509,0.657,Nicaragua
November,25.115,0.707,Nicaragua
December,24.685,0.828,Nicaragua
January,19.291,0.905,Niger
February,22.022,0.876,Niger
March,26.340,0.852,Niger
April,30.433,0.875,Niger
May,32.807,0.857,Niger
June,32.934,0.834,Niger
July,31.481,0.829,Niger
August,30.404,0.828,Niger
September,30.407,0.839,Niger
October,28.642,0.906,Niger
November,24.411,0.868,Niger
December,20.265,0.912,Niger
January,24.480,0.650,Nigeria
February,26.772,0.621,Nigeria
March,29.054,0.640,Nigeria
April,29.677,0.586,Nigeria
May,28.940,0.530,Nigeria
June,27.406,0.551,Nigeria
July,25.961,0.560,Nigeria
August,25.317,0.524,Nigeria
September,25.942,0.528,Nigeria
October,26.562,0.558,Nigeria
November,26.156,0.584,Nigeria
December,24.570,0.664,Nigeria
January,26.357,0.607,Niue
February,26.717,0.649,Niue
March,26.662,0.610,Niue
April,25.906,0.608,Niue
May,25.023,0.624,Niue
June,24.127,0.625,Niue
July,23.544,0.634,Niue
August,23.509,0.594,Niue
September,23.925,0.635,Niue
October,24.389,0.603,Niue
November,25.200,0.643,Niue
December,25.802,0.641,Niue
January,-11.825,1.001,North America
February,-10.160,0.925,North America
March,-5.868,0.867,North America
April,0.845,0.771,North America
May,7.953,0.750,North America
June,13.535,0.751,North America
July,16.280,0.713,North America
August,14.963,0.720,North America
September,10.030,0.693,North America
October,3.119,0.787,North America
November,-4.092,0.873,North America
December,-9.809,0.974,North America
January,-9.930,0.974,North Korea
February,-7.029,0.915,North Korea
March,-0.635,0.820,North Korea
April,6.786,0.782,North Korea
May,12.644,0.725,North Korea
June,17.361,0.756,North Korea
July,21.152,0.736,North Korea
August,21.364,0.681,North Korea
September,16.074,0.645,North Korea
October,9.066,0.677,North Korea
November,0.936,0.785,North Korea
December,-6.853,0.958,North Korea
January,26.137,0.544,Northern Mariana Islands
February,26.125,0.561,Northern Mariana Islands
March,26.506,0.530,Northern Mariana Islands
April,27.025,0.546,Northern Mariana Islands
May,27.567,0.539,Northern Mariana Islands
June,27.774,0.560,Northern Mariana Islands
July,27.483,0.565,Northern Mariana Islands
August,27.227,0.534,Northern Mariana Islands
September,27.165,0.543,Northern Mariana Islands
October,27.068,0.512,Northern Mariana Islands
November,27.222,0.541,Northern Mariana Islands
December,26.665,0.531,Northern Mariana Islands
January,-8.785,2.169,Norway
February,-8.369,2.033,Norway
March,-6.287,1.791,Norway
April,-2.003,1.723,Norway
May,3.451,1.594,Norway
June,8.363,1.634,Norway
July,11.014,1.642,Norway
August,9.889,1.606,Norway
September,5.751,1.528,Norway
October,0.194,1.642,Norway
November,-4.391,1.798,Norway
December,-7.578,1.930,Norway
January,27.238,0.528,Oceania
February,26.745,0.514,Oceania
March,25.042,0.466,Oceania
April,21.692,0.453,Oceania
May,18.051,0.451,Oceania
June,15.227,0.455,Oceania
July,14.492,0.449,Oceania
August,16.228,0.450,Oceania
September,19.241,0.436,Oceania
October,22.257,0.451,Oceania
November,24.931,0.482,Oceania
December,26.460,0.521,Oceania
January,19.523,0.763,Oman
February,21.019,0.746,Oman
March,24.270,0.760,Oman
April,27.866,0.747,Oman
May,31.375,0.774,Oman
June,33.055,0.864,Oman
July,32.884,0.910,Oman
August,31.471,0.877,Oman
September,29.725,0.806,Oman
October,27.119,0.739,Oman
November,23.930,0.738,Oman
December,20.713,0.761,Oman
January,8.878,0.756,Pakistan
February,11.379,0.727,Pakistan
March,16.808,0.709,Pakistan
April,22.264,0.704,Pakistan
May,27.170,0.665,Pakistan
June,29.770,0.716,Pakistan
July,29.502,0.715,Pakistan
August,28.143,0.694,Pakistan
September,25.745,0.660,Pakistan
October,21.228,0.677,Pakistan
November,15.505,0.732,Pakistan
December,10.452,0.733,Pakistan
January,26.720,0.517,Palau
February,26.760,0.539,Palau
March,27.056,0.539,Palau
April,27.361,0.548,Palau
May,27.622,0.509,Palau
June,27.427,0.514,Palau
July,27.285,0.532,Palau
August,27.306,0.530,Palau
September,27.364,0.516,Palau
October,27.285,0.496,Palau
November,27.374,0.484,Palau
December,27.029,0.501,Palau
January,20.965,0.686,Palestina
February,21.498,0.706,Palestina
March,22.303,0.670,Palestina
April,23.008,0.635,Palestina
May,23.967,0.585,Palestina
June,24.608,0.578,Palestina
July,24.873,0.574,Palestina
August,24.813,0.604,Palestina
September,24.333,0.561,Palestina
October,23.576,0.620,Palestina
November,22.400,0.696,Palestina
December,21.197,0.703,Palestina
January,26.613,0.717,Palmyra Atoll
February,26.698,0.757,Palmyra Atoll
March,26.954,0.706,Palmyra Atoll
April,27.097,0.672,Palmyra Atoll
May,27.275,0.656,Palmyra Atoll
June,27.311,0.664,Palmyra Atoll
July,27.543,0.652,Palmyra Atoll
August,27.685,0.632,Palmyra Atoll
September,27.515,0.652,Palmyra Atoll
October,27.258,0.682,Palmyra Atoll
November,27.193,0.686,Palmyra Atoll
December,26.820,0.719,Palmyra Atoll
January,26.044,0.730,Panama
February,26.358,0.756,Panama
March,26.826,0.740,Panama
April,26.995,0.706,Panama
May,26.907,0.642,Panama
June,26.526,0.624,Panama
July,26.457,0.639,Panama
August,26.356,0.615,Panama
September,26.083,0.603,Panama
October,25.582,0.601,Panama
November,25.607,0.631,Panama
December,25.741,0.753,Panama
January,24.782,0.500,Papua New Guinea
February,24.793,0.501,Papua New Guinea
March,24.801,0.470,Papua New Guinea
April,24.599,0.464,Papua New Guinea
May,24.542,0.464,Papua New Guinea
June,24.072,0.482,Papua New Guinea
July,23.668,0.506,Papua New Guinea
August,23.726,0.483,Papua New Guinea
September,24.205,0.485,Papua New Guinea
October,24.528,0.485,Papua New Guinea
November,24.851,0.458,Papua New Guinea
December,24.846,0.480,Papua New Guinea
January,27.250,0.918,Paraguay
February,26.905,0.897,Paraguay
March,25.791,0.853,Paraguay
April,22.890,0.852,Paraguay
May,20.127,0.834,Paraguay
June,18.340,0.907,Paraguay
July,18.374,0.882,Paraguay
August,20.093,0.897,Paraguay
September,22.184,0.873,Paraguay
October,24.251,0.859,Paraguay
November,25.840,0.875,Paraguay
December,26.845,0.944,Paraguay
January,20.527,0.535,Peru
February,20.635,0.555,Peru
March,20.639,0.521,Peru
April,20.223,0.520,Peru
May,19.691,0.551,Peru
June,18.921,0.595,Peru
July,18.689,0.575,Peru
August,19.277,0.540,Peru
September,19.867,0.523,Peru
October,20.038,0.491,Peru
November,20.363,0.507,Peru
December,20.395,0.486,Peru
January,24.995,0.535,Philippines
February,25.279,0.547,Philippines
March,26.220,0.521,Philippines
April,27.215,0.521,Philippines
May,27.718,0.486,Philippines
June,27.346,0.482,Philippines
July,27.024,0.474,Philippines
August,26.920,0.469,Philippines
September,26.780,0.448,Philippines
October,26.407,0.449,Philippines
November,26.061,0.474,Philippines
December,25.324,0.520,Philippines
January,-4.184,2.060,Poland
February,-2.611,1.897,Poland
March,1.549,1.631,Poland
April,7.510,1.567,Poland
May,13.013,1.422,Poland
June,16.465,1.414,Poland
July,18.326,1.461,Poland
August,17.650,1.422,Poland
September,13.475,1.370,Poland
October,7.882,1.472,Poland
November,2.495,1.623,Poland
December,-1.951,1.816,Poland
January,8.105,1.715,Portugal
February,9.450,1.632,Portugal
March,11.296,1.435,Portugal
April,13.134,1.427,Portugal
May,16.029,1.343,Portugal
June,19.493,1.362,Portugal
July,21.875,1.375,Portugal
August,21.915,1.373,Portugal
September,19.480,1.322,Portugal
October,15.378,1.371,Portugal
November,11.502,1.461,Portugal
December,8.586,1.557,Portugal
January,23.685,0.664,Puerto Rico
February,23.511,0.612,Puerto Rico
March,23.814,0.547,Puerto Rico
April,24.485,0.569,Puerto Rico
May,25.742,0.547,Puerto Rico
June,26.677,0.509,Puerto Rico
July,27.047,0.515,Puerto Rico
August,27.103,0.501,Puerto Rico
September,26.883,0.488,Puerto Rico
October,26.386,0.477,Puerto Rico
November,25.683,0.562,Puerto Rico
December,24.437,0.681,Puerto Rico
January,17.060,0.970,Qatar
February,18.071,0.940,Qatar
March,21.437,0.930,Qatar
April,25.928,0.899,Qatar
May,31.078,0.918,Qatar
June,34.049,0.979,Qatar
July,35.113,0.971,Qatar
August,34.588,0.950,Qatar
September,32.488,0.874,Qatar
October,28.830,0.855,Qatar
November,23.973,0.907,Qatar
December,19.096,0.972,Qatar
January,25.489,0.878,Reunion
February,25.878,0.734,Reunion
March,25.626,0.698,Reunion
April,24.667,0.696,Reunion
May,23.513,0.716,Reunion
June,22.253,0.709,Reunion
July,21.431,0.726,Reunion
August,20.922,0.719,Reunion
September,21.041,0.694,Reunion
October,21.573,0.775,Reunion
November,22.996,0.742,Reunion
December,24.332,0.857,Reunion
January,-3.636,1.979,Romania
February,-1.763,1.824,Romania
March,2.881,1.584,Romania
April,8.863,1.528,Romania
May,14.540,1.413,Romania
June,18.127,1.408,Romania
July,20.021,1.437,Romania
August,19.365,1.405,Romania
September,15.060,1.374,Romania
October,9.436,1.461,Romania
November,3.703,1.601,Romania
December,-1.368,1.828,Romania
January,-25.823,1.249,Russia
February,-23.049,1.202,Russia
March,-15.637,1.075,Russia
April,-5.806,1.069,Russia
May,3.742,0.980,Russia
June,11.518,1.004,Russia
July,15.035,0.972,Russia
August,12.528,0.968,Russia
September,5.611,0.950,Russia
October,-4.606,0.982,Russia
November,-16.180,1.170,Russia
December,-23.723,1.207,Russia
January,19.223,0.748,Rwanda
February,19.330,0.704,Rwanda
March,19.192,0.666,Rwanda
April,18.942,0.619,Rwanda
May,19.185,0.609,Rwanda
June,19.169,0.634,Rwanda
July,19.289,0.646,Rwanda
August,19.815,0.663,Rwanda
September,19.896,0.687,Rwanda
October,19.276,0.627,Rwanda
November,18.860,0.644,Rwanda
December,18.770,0.709,Rwanda
January,24.850,0.707,Saint Barthélemy
February,24.862,0.653,Saint Barthélemy
March,25.264,0.602,Saint Barthélemy
April,25.810,0.615,Saint Barthélemy
May,26.879,0.597,Saint Barthélemy
June,27.701,0.563,Saint Barthélemy
July,28.056,0.563,Saint Barthélemy
August,28.170,0.536,Saint Barthélemy
September,27.982,0.537,Saint Barthélemy
October,27.508,0.530,Saint Barthélemy
November,26.774,0.600,Saint Barthélemy
December,25.501,0.691,Saint Barthélemy
January,24.313,0.667,Saint Kitts And Nevis
February,24.266,0.612,Saint Kitts And Nevis
March,24.654,0.554,Saint Kitts And Nevis
April,25.252,0.579,Saint Kitts And Nevis
May,26.267,0.564,Saint Kitts And Nevis
June,26.863,0.524,Saint Kitts And Nevis
July,27.098,0.529,Saint Kitts And Nevis
August,27.217,0.509,Saint Kitts And Nevis
September,27.009,0.505,Saint Kitts And Nevis
October,26.511,0.493,Saint Kitts And Nevis
November,25.923,0.556,Saint Kitts And Nevis
December,24.879,0.657,Saint Kitts And Nevis
January,25.394,0.691,Saint Lucia
February,25.335,0.641,Saint Lucia
March,25.764,0.572,Saint Lucia
April,26.353,0.571,Saint Lucia
May,27.222,0.571,Saint Lucia
June,27.358,0.501,Saint Lucia
July,27.405,0.508,Saint Lucia
August,27.562,0.504,Saint Lucia
September,27.504,0.519,Saint Lucia
October,27.132,0.490,Saint Lucia
November,26.804,0.549,Saint Lucia
December,25.946,0.643,Saint Lucia
January,24.850,0.707,Saint Martin
February,24.862,0.653,Saint Martin
March,25.264,0.602,Saint Martin
April,25.810,0.615,Saint Martin
May,26.879,0.597,Saint Martin
June,27.701,0.563,Saint Martin
July,28.056,0.563,Saint Martin
August,28.170,0.536,Saint Martin
September,27.982,0.537,Saint Martin
October,27.508,0.530,Saint Martin
November,26.774,0.600,Saint Martin
December,25.501,0.691,Saint Martin
January,-5.334,1.831,Saint Pierre And Miquelon
February,-5.688,1.763,Saint Pierre And Miquelon
March,-2.805,1.640,Saint Pierre And Miquelon
April,1.373,1.525,Saint Pierre And Miquelon
May,5.820,1.480,Saint Pierre And Miquelon
June,10.296,1.532,Saint Pierre And Miquelon
July,14.333,1.564,Saint Pierre And Miquelon
August,15.078,1.506,Saint Pierre And Miquelon
September,11.730,1.470,Saint Pierre And Miquelon
October,6.648,1.491,Saint Pierre And Miquelon
November,2.231,1.620,Saint Pierre And Miquelon
December,-2.545,1.702,Saint Pierre And Miquelon
January,25.591,0.684,Saint Vincent And The Grenadines
February,25.569,0.637,Saint Vincent And The Grenadines
March,25.990,0.560,Saint Vincent And The Grenadines
April,26.565,0.561,Saint Vincent And The Grenadines
May,27.353,0.563,Saint Vincent And The Grenadines
June,27.380,0.493,Saint Vincent And The Grenadines
July,27.432,0.501,Saint Vincent And The Grenadines
August,27.634,0.497,Saint Vincent And The Grenadines
September,27.656,0.514,Saint Vincent And The Grenadines
October,27.282,0.483,Saint Vincent And The Grenadines
November,26.938,0.546,Saint Vincent And The Grenadines
December,26.099,0.635,Saint Vincent And The Grenadines
January,26.488,0.541,Samoa
February,26.559,0.529,Samoa
March,26.638,0.508,Samoa
April,26.538,0.507,Samoa
May,26.512,0.489,Samoa
June,26.241,0.537,Samoa
July,25.936,0.545,Samoa
August,25.951,0.503,Samoa
September,26.078,0.519,Samoa
October,26.145,0.513,Samoa
November,26.421,0.517,Samoa
December,26.478,0.556,Samoa
January,5.587,2.062,San Marino
February,6.108,1.916,San Marino
March,8.455,1.589,San Marino
April,11.752,1.542,San Marino
May,16.091,1.402,San Marino
June,19.763,1.404,San Marino
July,22.426,1.432,San Marino
August,22.514,1.397,San Marino
September,19.483,1.334,San Marino
October,15.278,1.446,San Marino
November,11.094,1.622,San Marino
December,7.527,1.794,San Marino
January,26.179,0.626,Sao Tome And Principe
February,26.704,0.623,Sao Tome And Principe
March,26.821,0.614,Sao Tome And Principe
April,26.573,0.587,Sao Tome And Principe
May,26.400,0.575,Sao Tome And Principe
June,25.245,0.582,Sao Tome And Principe
July,24.503,0.583,Sao Tome And Principe
August,24.625,0.586,Sao Tome And Principe
September,25.152,0.572,Sao Tome And Principe
October,25.346,0.571,Sao Tome And Principe
November,25.926,0.582,Sao Tome And Principe
December,26.000,0.603,Sao Tome And Principe
January,15.316,0.826,Saudi Arabia
February,17.384,0.799,Saudi Arabia
March,21.214,0.775,Saudi Arabia
April,25.631,0.774,Saudi Arabia
May,30.319,0.772,Saudi Arabia
June,33.204,0.801,Saudi Arabia
July,34.297,0.818,Saudi Arabia
August,33.927,0.835,Saudi Arabia
September,31.383,0.781,Saudi Arabia
October,26.633,0.778,Saudi Arabia
November,20.970,0.800,Saudi Arabia
December,16.382,0.835,Saudi Arabia
January,24.295,0.803,Senegal
February,26.407,0.791,Senegal
March,28.743,0.716,Senegal
April,30.215,0.726,Senegal
May,31.050,0.743,Senegal
June,30.395,0.720,Senegal
July,28.599,0.659,Senegal
August,27.551,0.653,Senegal
September,28.042,0.596,Senegal
October,28.526,0.643,Senegal
November,27.170,0.691,Senegal
December,24.618,0.787,Senegal
January,-1.783,2.013,Serbia
February,0.250,1.866,Serbia
March,4.735,1.559,Serbia
April,10.077,1.548,Serbia
May,15.262,1.422,Serbia
June,18.711,1.402,Serbia
July,20.724,1.434,Serbia
August,20.270,1.406,Serbia
September,16.175,1.364,Serbia
October,10.565,1.465,Serbia
November,4.855,1.608,Serbia
December,0.089,1.806,Serbia
January,26.322,0.861,Seychelles
February,26.821,0.828,Seychelles
March,27.470,0.799,Seychelles
April,27.843,0.758,Seychelles
May,27.778,0.758,Seychelles
June,26.866,0.726,Seychelles
July,26.124,0.745,Seychelles
August,26.046,0.736,Seychelles
September,26.411,0.684,Seychelles
October,26.421,0.696,Seychelles
November,26.507,0.739,Seychelles
December,26.264,0.787,Seychelles
January,25.323,0.851,Sierra Leone
February,26.838,0.777,Sierra Leone
March,27.776,0.736,Sierra Leone
April,27.574,0.715,Sierra Leone
May,27.014,0.664,Sierra Leone
June,26.003,0.701,Sierra Leone
July,25.044,0.680,Sierra Leone
August,24.641,0.658,Sierra Leone
September,25.223,0.616,Sierra Leone
October,25.767,0.626,Sierra Leone
November,25.976,0.689,Sierra Leone
December,25.126,0.790,Sierra Leone
January,25.768,0.712,Singapore
February,26.219,0.638,Singapore
March,26.651,0.612,Singapore
April,26.847,0.565,Singapore
May,27.294,0.506,Singapore
June,27.229,0.531,Singapore
July,26.901,0.552,Singapore
August,26.638,0.560,Singapore
September,26.482,0.510,Singapore
October,26.328,0.529,Singapore
November,26.196,0.567,Singapore
December,25.711,0.669,Singapore
January,24.850,0.707,Sint Maarten
February,24.862,0.653,Sint Maarten
March,25.264,0.602,Sint Maarten
April,25.810,0.615,Sint Maarten
May,26.879,0.597,Sint Maarten
June,27.701,0.563,Sint Maarten
July,28.056,0.563,Sint Maarten
August,28.170,0.536,Sint Maarten
September,27.982,0.537,Sint Maarten
October,27.508,0.530,Sint Maarten
November,26.774,0.600,Sint Maarten
December,25.501,0.691,Sint Maarten
January,-3.828,2.081,Slovakia
February,-2.075,1.913,Slovakia
March,2.005,1.599,Slovakia
April,7.526,1.547,Slovakia
May,12.923,1.426,Slovakia
June,16.255,1.400,Slovakia
July,17.996,1.444,Slovakia
August,17.340,1.404,Slovakia
September,13.361,1.371,Slovakia
October,8.055,1.472,Slovakia
November,2.660,1.621,Slovakia
December,-1.800,1.831,Slovakia
January,-1.071,2.126,Slovenia
February,0.906,1.958,Slovenia
March,4.763,1.606,Slovenia
April,9.336,1.554,Slovenia
May,14.344,1.407,Slovenia
June,17.914,1.393,Slovenia
July,19.896,1.424,Slovenia
August,19.208,1.400,Slovenia
September,15.375,1.344,Slovenia
October,10.131,1.461,Slovenia
November,4.750,1.647,Slovenia
December,0.451,1.851,Slovenia
January,26.987,0.569,Solomon Islands
February,26.947,0.562,Solomon Islands
March,26.936,0.537,Solomon Islands
April,26.802,0.546,Solomon Islands
May,26.809,0.523,Solomon Islands
June,26.532,0.566,Solomon Islands
July,26.239,0.568,Solomon Islands
August,26.123,0.547,Solomon Islands
September,26.222,0.520,Solomon Islands
October,26.288,0.519,Solomon Islands
November,26.707,0.584,Solomon Islands
December,26.912,0.618,Solomon Islands
January,25.112,0.792,Somalia
February,26.062,0.819,Somalia
March,27.419,0.802,Somalia
April,27.987,0.784,Somalia
May,28.144,0.749,Somalia
June,27.829,0.747,Somalia
July,27.267,0.784,Somalia
August,27.347,0.806,Somalia
September,27.695,0.805,Somalia
October,26.637,0.782,Somalia
November,25.837,0.791,Somalia
December,25.161,0.808,Somalia
January,22.670,0.637,South Africa
February,22.331,0.631,South Africa
March,20.602,0.598,South Africa
April,17.257,0.600,South Africa
May,13.815,0.607,South Africa
June,11.017,0.616,South Africa
July,10.789,0.617,South Africa
August,12.817,0.590,South Africa
September,15.813,0.591,South Africa
October,18.204,0.554,South Africa
November,20.194,0.600,South Africa
December,21.753,0.657,South Africa
January,23.538,0.475,South America
February,23.430,0.457,South America
March,22.985,0.422,South America
April,21.794,0.428,South America
May,20.608,0.423,South America
June,19.480,0.455,South America
July,19.394,0.437,South America
August,20.396,0.419,South America
September,21.573,0.407,South America
October,22.351,0.397,South America
November,23.046,0.426,South America
December,23.312,0.475,South America
January,4.465,1.255,South Georgia And The South Sandwich Isla
February,4.857,1.200,South Georgia And The South Sandwich Isla
March,4.094,1.219,South Georgia And The South Sandwich Isla
April,1.996,1.308,South Georgia And The South Sandwich Isla
May,0.041,1.637,South Georgia And The South Sandwich Isla
June,-1.218,1.792,South Georgia And The South Sandwich Isla
July,-1.596,1.686,South Georgia And The South Sandwich Isla
August,-1.571,1.634,South Georgia And The South Sandwich Isla
September,-0.558,1.406,South Georgia And The South Sandwich Isla
October,0.764,1.169,South Georgia And The South Sandwich Isla
November,2.240,1.216,South Georgia And The South Sandwich Isla
December,3.249,1.145,South Georgia And The South Sandwich Isla
January,-1.887,0.805,South Korea
February,-0.004,0.761,South Korea
March,4.868,0.678,South Korea
April,11.047,0.679,South Korea
May,16.301,0.636,South Korea
June,20.626,0.672,South Korea
July,24.470,0.658,South Korea
August,24.944,0.618,South Korea
September,20.130,0.573,South Korea
October,13.746,0.593,South Korea
November,7.114,0.656,South Korea
December,0.800,0.763,South Korea
January,5.725,1.760,Spain
February,7.293,1.643,Spain
March,9.497,1.436,Spain
April,11.752,1.416,Spain
May,15.362,1.316,Spain
June,19.566,1.333,Spain
July,22.644,1.336,Spain
August,22.561,1.324,Spain
September,19.162,1.273,Spain
October,14.072,1.337,Spain
November,9.513,1.450,Spain
December,6.286,1.549,Spain
January,25.383,0.944,Sri Lanka
February,26.214,0.864,Sri Lanka
March,27.459,0.843,Sri Lanka
April,28.015,0.786,Sri Lanka
May,28.312,0.733,Sri Lanka
June,27.899,0.734,Sri Lanka
July,27.599,0.763,Sri Lanka
August,27.462,0.736,Sri Lanka
September,27.204,0.694,Sri Lanka
October,26.489,0.730,Sri Lanka
November,26.015,0.851,Sri Lanka
December,25.339,0.907,Sri Lanka
January,22.314,0.825,Sudan
February,23.887,0.707,Sudan
March,26.570,0.744,Sudan
April,28.997,0.696,Sudan
May,30.485,0.660,Sudan
June,30.299,0.667,Sudan
July,29.002,0.700,Sudan
August,28.557,0.713,Sudan
September,28.775,0.683,Sudan
October,28.013,0.688,Sudan
November,25.408,0.712,Sudan
December,22.798,0.708,Sudan
January,25.297,0.681,Suriname
February,25.432,0.637,Suriname
March,25.826,0.586,Suriname
April,25.935,0.599,Suriname
May,26.036,0.558,Suriname
June,25.895,0.525,Suriname
July,26.082,0.517,Suriname
August,26.603,0.507,Suriname
September,27.108,0.501,Suriname
October,27.156,0.515,Suriname
November,26.899,0.575,Suriname
December,25.825,0.675,Suriname
January,-15.063,3.235,Svalbard And Jan Mayen
February,-16.025,3.182,Svalbard And Jan Mayen
March,-16.071,3.114,Svalbard And Jan Mayen
April,-12.279,2.979,Svalbard And Jan Mayen
May,-5.407,2.857,Svalbard And Jan Mayen
June,0.885,2.855,Svalbard And Jan Mayen
July,4.101,2.858,Svalbard And Jan Mayen
August,3.176,2.815,Svalbard And Jan Mayen
September,-1.157,2.808,Svalbard And Jan Mayen
October,-7.026,2.882,Svalbard And Jan Mayen
November,-11.101,3.015,Svalbard And Jan Mayen
December,-13.651,3.111,Svalbard And Jan Mayen
January,22.597,0.725,Swaziland
February,22.470,0.695,Swaziland
March,21.455,0.666,Swaziland
April,19.069,0.648,Swaziland
May,16.262,0.677,Swaziland
June,13.849,0.729,Swaziland
July,13.846,0.699,Swaziland
August,15.840,0.695,Swaziland
September,18.148,0.688,Swaziland
October,19.611,0.665,Swaziland
November,20.947,0.711,Swaziland
December,21.998,0.729,Swaziland
January,-8.542,2.090,Sweden
February,-7.697,1.922,Sweden
March,-4.434,1.661,Sweden
April,0.908,1.594,Sweden
May,6.927,1.468,Sweden
June,12.234,1.520,Sweden
July,14.844,1.517,Sweden
August,13.230,1.481,Sweden
September,8.515,1.379,Sweden
October,2.526,1.505,Sweden
November,-2.862,1.673,Sweden
December,-6.908,1.827,Sweden
January,-2.484,2.086,Switzerland
February,-0.823,1.924,Switzerland
March,2.434,1.609,Switzerland
April,6.327,1.555,Switzerland
